OSM_tag_name,OSM_tag_value,Element_icon ,Comment ,Useful_for_MapAction,Data Category description,Cat_value,Date Theme description,Theme_value,Conforms_to_MA_Hierarchy,OSM_Element ,Data type,pt,ln,py,rel
aerialway ,cable_car ,Way ,"cablecar or tramway. Just one or two large cars. The cable forms a loop, but the cars do not loop around, they just move up and down on their own side. ",Y,Transport,tran,Aerialway,aew,#N/A,Way ,ln ,#N/A,ln,#N/A,#N/A
aerialway ,chair_lift ,Way ,"chairlift. Looped cable with a series of single chairs (typically seating two or four people, but can be more). Exposed to the open air. This implies oneway=yes. Any two-way chairlifts should be tagged oneway=no. ",Y,Transport,tran,Aerialway,aew,#N/A,Way ,ln ,#N/A,ln,#N/A,#N/A
aerialway ,drag_lift ,Way ,"An overhead tow-line for skiers and riders. A T-bar lift, button lift, or more simple looped rope drag lifts, or loops of wire with handles to grab. See also aerialway=t-bar, aerialway=j-bar and aerialway=platter. ",Y,Transport,tran,Aerialway,aew,#N/A,Way ,ln ,#N/A,ln,#N/A,#N/A
aerialway ,gondola ,Way ,gondola lift. Many cars on a looped cable. ,Y,Transport,tran,Aerialway,aew,#N/A,Way ,ln ,#N/A,ln,#N/A,#N/A
aerialway ,goods ,Way ,A lift for goods. Passenger transport is usually not allowed ,Y,Transport,tran,Aerialway,aew,#N/A,Way ,ln ,#N/A,ln,#N/A,#N/A
aerialway ,j-bar ,Way ,J-bar lift. A type of aerialway=drag_lift. Like t-bar but just on one side. This automatically implies oneway=yes. ,Y,Transport,tran,Aerialway,aew,#N/A,Way ,ln ,#N/A,ln,#N/A,#N/A
aerialway ,magic_carpet ,Way ,magic carpet. A type of ski lift. This automatically implies oneway=yes. ,Y,Transport,tran,Aerialway,aew,#N/A,Way ,ln ,#N/A,ln,#N/A,#N/A
aerialway ,mixed_lift ,Way ,"A mixed lift, containing both gondolas and chairs. ",Y,Transport,tran,Aerialway,aew,#N/A,Way ,ln ,#N/A,ln,#N/A,#N/A
aerialway ,platter ,Way ,"Platter lift. A type of aerialway=drag_lift. Similar to a t-bar, but with a disc instead of a bar. Single-person only. This automatically implies oneway=yes. ",Y,Transport,tran,Aerialway,aew,#N/A,Way ,ln ,#N/A,ln,#N/A,#N/A
aerialway ,pylon ,Node ,A pylon supporting the aerialway cable. ,Y,Transport,tran,Aerialway,aew,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
